Player,Nation,Team,Position,Age,Matches played,Starts,Minutes,Goals,Assists,Yellow Cards,Red Cards,Expected Goals,Expedted Assist Goals,Progressive Carries in Progression,Progressive Passes in Progression,Progressive Passes Received in Progression,Goals Scored per 90 minutes,Assists per 90 minutes,Expected Goals per 90 minutes,Expected Assists Goals per 90 minutes,Goals Against per 90 minutes,Save Percentage,Clean Sheets Percentage,Penalty Save Percentage,Percentage of shots that are on target,Shots on target per 90 minutes,Goals per shot,Average Shot Distance,Passes Completed,Pass Completion Percentage,Total Passing Distance,Passes Completion Percentage (Short),Passes Completion Percentage (Medium),Passes Completion Percentage (Long),Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Progressive Passes in Expected,Shot-Creating Actions,Shot-Creating Actions per 90 minutes,Goal-Creating Actions,Goal-Creating Actions per 90 minutes,Tackles,Tackles Won,Dribblers Tackled,Dribbles Challenged,Blocks,Shots Blocked,Passes Blocked,Interceptions,Touches,Touches(Defensive Penalty Area),Touches(Defensive Third),Touches(Mid Third),Touches(Attacking Third),Touches(Attacking Penalty Area),Take-Ons Attempted(Take-Ons),Percentage of Take-Ons Completed Successfully,Tackled During Take-Ons Percentage,Carries,Progressive Carrying Distance,Progressive Carries in Carries,Carries into Final Third,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Progressive Passes Received in Receiving,Fouls Committed,Fouls Drawn,Offsides,Crosses,Ball Recoveries,Aerials Won,Aerials Lost,Aerials Won Percentage
Dejan Kulusevski,SWE,Tottenham,"MF,FW",25-007,30,25,"2,281",7,4,3,0,4.2,6.1,118,122,207,0.28,0.16,0.17,0.24,N/a,N/a,N/a,N/a,37.0,0.67,0.15,14.8,644,73.9,9046,86.2,78.1,40.3,64,61,52,6,122,125,4.93,9,0.35,43,23,49,30,27,4,23,13,1233,21,143,413,701,154,111,33.3,59.5,801,3164,118,67,39,74,72,874,207,43,33,5,88,115,10,14,41.7
Destiny Udogie,ITA,Tottenham,DF,22-155,24,23,"1,834",0,1,2,0,0.3,1.5,54,120,93,0.00,0.05,0.01,0.07,N/a,N/a,N/a,N/a,20.0,0.05,0.00,15.1,947,87.4,13710,91.3,90.4,80.0,16,88,6,1,120,35,1.72,3,0.15,74,47,47,14,40,6,34,21,1336,60,377,591,383,49,32,40.6,50.0,735,2290,54,39,12,32,19,796,93,29,38,2,19,109,13,13,50.0
Diego Carlos,BRA,Aston Villa,DF,32-048,10,8,830,0,0,1,0,0.6,0.0,3,34,0,0.00,0.00,0.07,0.00,N/a,N/a,N/a,N/a,25.0,0.11,0.00,6.7,534,88.6,10941,91.4,94.2,65.1,0,23,1,0,34,4,0.43,0,0.00,8,3,6,2,13,7,6,5,674,86,331,330,15,6,2,100.0,0.0,419,1162,3,3,0,1,2,481,0,11,1,1,0,36,11,10,52.4
Diego Gómez,PAR,Brighton,MF,22-036,12,4,440,0,0,0,0,0.4,0.5,5,20,14,0.00,0.00,0.09,0.10,N/a,N/a,N/a,N/a,0.0,0.00,0.00,21.5,206,79.8,3195,85.8,84.1,52.2,5,12,5,1,20,14,2.86,3,0.61,17,10,18,9,11,0,11,7,342,18,79,184,83,5,12,50.0,50.0,161,254,5,3,0,6,9,203,14,7,2,1,9,30,7,3,70.0
Diogo Dalot,POR,Manchester Utd,DF,26-045,32,31,"2,788",0,3,5,0,2.0,2.0,62,102,164,0.00,0.10,0.06,0.07,N/a,N/a,N/a,N/a,21.7,0.16,0.00,15.6,1336,80.5,21497,89.9,81.9,55.4,26,61,25,8,102,74,2.39,5,0.16,67,39,52,18,22,9,13,37,1965,113,658,767,557,66,53,50.9,41.5,1111,2684,62,37,16,37,21,1186,164,40,9,4,65,164,38,21,64.4
Diogo Jota,POR,Liverpool,FW,28-149,23,13,"1,097",6,3,2,0,7.3,1.8,36,33,86,0.49,0.25,0.60,0.15,N/a,N/a,N/a,N/a,28.3,1.07,0.13,12.5,201,69.6,3050,76.1,74.2,61.9,11,29,3,1,33,35,2.87,9,0.74,14,8,19,12,9,0,9,7,448,5,30,185,240,90,30,36.7,60.0,247,753,36,21,20,36,21,311,86,18,12,1,8,40,21,30,41.2
Djed Spence,ENG,Tottenham,DF,24-266,21,16,"1,514",1,2,4,1,0.6,1.7,53,98,68,0.06,0.12,0.03,0.10,N/a,N/a,N/a,N/a,30.0,0.18,0.10,23.9,875,86.0,12585,93.6,86.8,54.4,10,73,17,7,98,26,1.55,5,0.30,39,30,25,6,22,9,13,17,1234,67,415,562,277,24,69,49.3,40.6,709,2295,53,40,7,25,27,776,68,19,23,2,23,91,17,12,58.6
Dominic Calvert-Lewin,ENG,Everton,FW,28-047,22,19,"1,574",3,1,2,0,6.1,0.6,22,19,105,0.17,0.06,0.35,0.04,N/a,N/a,N/a,N/a,37.0,0.97,0.07,12.3,174,62.6,2035,70.0,58.3,37.5,7,19,5,1,19,25,1.43,4,0.23,9,7,6,4,6,2,4,6,491,21,38,204,254,82,25,40.0,52.0,268,444,22,8,16,71,32,402,105,27,22,27,6,32,83,79,51.2
Dominic Solanke,ENG,Tottenham,FW,27-230,25,24,"2,119",8,3,0,0,10.1,2.9,29,45,88,0.34,0.13,0.43,0.13,N/a,N/a,N/a,N/a,40.7,1.02,0.14,12.1,250,71.0,3344,76.1,77.1,66.7,14,27,9,0,45,37,1.57,8,0.34,18,11,14,10,18,7,11,0,636,31,68,290,284,111,50,32.0,62.0,374,803,29,21,14,67,47,448,88,36,36,5,4,37,44,59,42.7
Dominik Szoboszlai,HUN,Liverpool,MF,24-189,32,26,"2,257",5,5,6,0,7.1,6.2,65,114,120,0.20,0.20,0.28,0.25,N/a,N/a,N/a,N/a,32.3,0.80,0.08,18.5,1015,84.5,15678,89.2,88.1,71.9,51,78,31,5,114,108,4.31,14,0.56,31,20,39,24,35,4,31,9,1435,23,183,696,574,96,35,54.3,37.1,732,2101,65,46,17,34,21,980,120,37,23,4,34,120,18,22,45.0
Donyell Malen,NED,Aston Villa,FW,26-113,11,2,273,3,0,0,0,1.7,0.1,9,5,23,0.99,0.00,0.55,0.02,N/a,N/a,N/a,N/a,66.7,2.64,0.25,16.3,45,70.3,580,82.9,75.0,50.0,2,2,1,0,5,4,1.31,0,0.00,7,4,4,3,1,0,1,0,110,2,7,29,80,18,10,30.0,50.0,63,251,9,5,5,8,6,71,23,1,4,2,7,8,3,4,42.9
Dwight McNeil,ENG,Everton,"MF,FW",25-161,17,13,"1,185",3,4,1,0,1.1,3.8,32,61,68,0.23,0.30,0.08,0.29,N/a,N/a,N/a,N/a,37.5,0.68,0.13,21.6,390,73.0,7325,86.2,81.1,52.9,33,35,33,10,61,62,4.71,7,0.53,11,6,19,11,7,0,7,5,645,3,65,280,315,22,38,55.3,42.1,374,970,32,29,4,22,28,435,68,6,14,1,92,65,3,14,17.6
Eberechi Eze,ENG,Crystal Palace,"MF,FW",26-307,30,28,"2,337",4,8,1,0,8.2,5.2,65,85,141,0.15,0.31,0.31,0.20,N/a,N/a,N/a,N/a,25.8,0.92,0.04,21.5,707,74.6,11848,85.3,83.4,43.2,53,46,32,3,85,119,4.58,9,0.35,37,22,35,18,26,0,26,11,1289,15,172,611,537,86,125,48.8,45.6,771,2178,65,43,21,52,44,840,141,11,46,9,100,128,6,36,14.3
Eddie Nketiah,ENG,Crystal Palace,"FW,MF",25-337,25,8,880,1,1,5,1,4.3,1.5,37,17,65,0.10,0.10,0.44,0.15,N/a,N/a,N/a,N/a,33.3,1.23,0.03,14.4,165,75.0,2479,79.5,83.3,70.6,11,11,4,0,17,26,2.66,2,0.20,12,5,11,6,10,1,9,2,360,10,39,150,178,59,19,52.6,31.6,211,807,37,22,13,30,15,256,65,25,23,3,5,21,18,31,36.7
Ederson,BRA,Manchester City,GK,31-258,22,22,"1,960",0,4,3,0,0.0,1.5,0,1,0,0.00,0.18,0.00,0.07,1.15,68.5,31.8,0.0,N/a,0.00,N/a,N/a,693,88.1,17056,100.0,98.3,65.7,4,20,1,0,1,6,0.28,4,0.18,0,0,2,2,0,0,0,1,833,587,824,9,0,0,0,N/a,N/a,563,1671,0,0,0,1,0,529,0,1,0,0,0,37,4,1,80.0
Edmond-Paris Maghoma,ENG,Brentford,"MF,FW",23-359,8,0,119,0,0,0,0,0.1,0.1,4,13,4,0.00,0.00,0.09,0.08,N/a,N/a,N/a,N/a,0.0,0.00,0.00,23.8,76,90.5,1259,95.0,93.5,85.7,1,2,0,0,13,4,3.03,1,0.76,2,1,3,2,2,2,0,1,101,2,18,58,27,4,4,75.0,25.0,68,221,4,3,1,2,0,75,4,2,4,0,3,7,1,3,25.0
Edson Álvarez,MEX,West Ham,MF,27-190,25,19,"1,633",0,1,8,1,0.3,0.8,21,75,18,0.00,0.06,0.02,0.04,N/a,N/a,N/a,N/a,9.1,0.06,0.00,26.7,763,85.7,12894,88.8,89.7,73.5,11,80,11,3,75,25,1.38,2,0.11,44,23,33,18,21,8,13,16,1101,61,323,612,174,12,31,45.2,38.7,603,1528,21,20,2,25,13,734,18,37,18,4,6,78,28,20,58.3
Elliot Anderson,ENG,Nott'ham Forest,MF,22-177,33,29,"2,377",2,6,7,0,1.7,3.1,44,118,82,0.08,0.23,0.06,0.12,N/a,N/a,N/a,N/a,20.0,0.27,0.06,19.9,893,77.7,14157,89.1,80.0,46.4,34,93,18,2,118,76,2.88,10,0.38,79,51,94,52,41,8,33,27,1528,88,363,716,477,59,69,50.7,37.7,774,1986,44,30,18,54,38,900,82,39,54,4,73,186,43,22,66.2
Emerson Palmieri,ITA,West Ham,DF,30-272,29,25,"2,015",2,1,5,0,2.0,1.5,44,64,82,0.09,0.04,0.09,0.07,N/a,N/a,N/a,N/a,43.8,0.31,0.13,19.0,827,79.9,12096,89.8,81.2,42.4,16,49,13,5,64,41,1.83,2,0.09,57,29,44,19,32,8,24,20,1277,82,412,532,348,27,30,33.3,56.7,533,1666,44,25,8,24,7,713,82,24,13,0,63,84,16,18,47.1
Emi Buendía,ARG,Aston Villa,"MF,FW",28-128,12,0,98,0,0,1,0,0.7,0.0,3,7,6,0.00,0.00,0.60,0.02,N/a,N/a,N/a,N/a,0.0,0.00,0.00,19.1,49,81.7,624,91.7,85.7,20.0,1,4,1,0,7,3,2.76,0,0.00,6,6,5,5,5,1,4,0,82,0,17,35,31,3,2,0.0,100.0,53,119,3,5,0,4,3,64,6,4,6,0,0,8,0,2,0.0
Emil Krafth,SWE,Newcastle Utd,DF,30-273,9,2,288,0,0,0,0,0.0,0.1,3,7,1,0.00,0.00,0.01,0.03,N/a,N/a,N/a,N/a,0.0,0.00,0.00,14.6,104,80.0,1661,81.7,86.8,50.0,1,6,0,0,7,3,0.94,0,0.00,4,2,3,1,5,4,1,2,164,30,87,59,19,4,1,0.0,100.0,72,133,3,3,0,2,2,85,1,3,1,0,1,17,5,5,50.0
Emile Smith Rowe,ENG,Fulham,MF,24-278,30,23,"1,852",6,2,2,0,4.4,1.1,50,120,113,0.29,0.10,0.21,0.05,N/a,N/a,N/a,N/a,29.4,0.49,0.18,15.4,834,90.0,11939,92.0,95.4,69.2,18,74,15,1,120,65,3.16,11,0.53,30,17,24,16,20,2,18,11,1112,20,153,525,444,55,33,48.5,45.5,721,1832,50,38,11,32,13,853,113,17,12,4,13,69,6,17,26.1
Emiliano Martínez,ARG,Aston Villa,GK,32-242,33,33,"2,880",0,0,4,0,0.0,0.5,0,3,0,0.00,0.00,0.00,0.02,1.41,65.9,15.2,50.0,N/a,0.00,N/a,N/a,986,79.0,25707,97.8,98.1,49.9,2,21,0,0,3,6,0.19,1,0.03,3,3,2,0,1,0,1,0,1307,990,1292,15,0,0,1,100.0,0.0,794,2586,0,0,0,1,0,718,0,1,5,0,0,28,8,1,88.9
Emmanuel Agbadou,CIV,Wolves,DF,27-319,12,12,"1,050",0,0,2,0,0.3,0.2,3,21,1,0.00,0.00,0.02,0.02,N/a,N/a,N/a,N/a,16.7,0.09,0.00,31.8,597,84.4,12223,91.7,92.3,60.0,4,23,1,0,21,15,1.29,2,0.17,25,17,17,6,15,11,4,9,844,137,473,355,22,5,10,70.0,20.0,508,1085,3,3,0,3,3,549,1,5,4,1,1,63,22,15,59.5
Enes Ünal,TUR,Bournemouth,"FW,MF",27-357,17,2,345,2,1,2,0,2.7,0.4,4,12,22,0.52,0.26,0.72,0.10,N/a,N/a,N/a,N/a,35.0,1.83,0.10,14.6,63,63.6,685,76.9,60.7,0.0,4,4,4,0,12,9,2.35,3,0.78,1,0,3,3,1,0,1,0,172,6,14,63,95,26,12,8.3,83.3,91,95,4,3,1,17,13,133,22,6,9,1,4,16,24,22,52.2
Enzo Fernández,ARG,Chelsea,MF,24-105,32,28,"2,590",5,7,7,0,5.4,6.3,57,196,115,0.17,0.24,0.19,0.22,N/a,N/a,N/a,N/a,36.7,0.63,0.10,18.6,1397,80.0,24772,88.8,84.9,58.4,71,155,39,7,196,137,4.76,16,0.56,61,30,78,49,32,5,27,11,2021,32,309,1027,698,73,46,45.7,39.1,1115,2529,57,53,8,27,27,1487,115,45,47,1,103,141,13,27,32.5
Erling Haaland,NOR,Manchester City,FW,24-285,28,28,"2,480",21,3,2,0,20.8,2.8,19,18,103,0.76,0.11,0.76,0.10,N/a,N/a,N/a,N/a,54.5,1.96,0.19,12.2,225,66.0,2706,70.6,66.7,66.7,26,9,7,1,18,62,2.25,9,0.33,9,5,6,4,11,1,10,5,578,22,39,200,344,170,32,34.4,59.4,272,478,19,14,19,39,25,427,103,22,12,4,3,29,49,45,52.1
Ethan Nwaneri,ENG,Arsenal,"FW,MF",18-042,24,10,816,4,2,1,0,1.1,1.0,44,30,101,0.44,0.22,0.12,0.11,N/a,N/a,N/a,N/a,36.4,0.88,0.18,18.2,304,80.2,4385,92.3,76.6,51.4,12,16,13,6,30,22,2.42,3,0.33,11,7,18,11,8,2,6,2,491,3,43,159,294,39,55,58.2,30.9,330,1233,44,21,16,20,17,358,101,7,5,6,51,33,3,7,30.0
Ethan Pinnock,JAM,Brentford,DF,31-338,22,21,"1,913",2,0,2,0,1.1,1.2,3,41,9,0.09,0.00,0.05,0.05,N/a,N/a,N/a,N/a,60.0,0.28,0.20,11.1,924,85.6,17045,94.2,89.4,57.9,8,48,4,1,41,21,0.99,0,0.00,35,19,24,11,29,18,11,24,1348,294,783,457,109,24,9,33.3,66.7,633,1633,3,4,0,2,4,760,9,8,4,0,9,50,63,43,59.4
Evan Ferguson,IRL,Brighton,FW,20-195,13,2,246,1,0,0,0,0.5,0.4,2,1,9,0.37,0.00,0.20,0.15,N/a,N/a,N/a,N/a,28.6,0.73,0.14,19.2,43,74.1,484,86.1,72.7,25.0,3,1,0,0,1,4,1.47,0,0.00,4,3,5,3,3,1,2,0,88,7,13,50,26,9,2,50.0,50.0,42,56,2,1,2,5,6,52,9,3,1,0,0,10,4,9,30.8
Evan Ferguson,IRL,West Ham,FW,20-195,7,1,145,0,0,0,0,0.6,0.3,1,0,6,0.00,0.00,0.35,0.19,N/a,N/a,N/a,N/a,20.0,0.62,0.00,17.2,26,78.8,317,83.3,71.4,0.0,2,0,0,0,0,4,2.48,0,0.00,2,0,0,0,2,1,1,1,62,1,6,27,29,10,5,60.0,40.0,31,41,1,1,1,8,5,40,6,1,2,0,0,8,5,8,38.5
Evanilson,BRA,Bournemouth,FW,25-208,27,24,"1,972",9,1,0,1,11.0,1.6,26,19,87,0.41,0.05,0.50,0.07,N/a,N/a,N/a,N/a,45.2,1.28,0.15,12.9,201,69.1,2409,74.6,70.7,64.3,23,14,2,0,19,56,2.56,8,0.37,14,9,10,4,10,2,8,0,479,22,49,183,250,113,19,31.6,36.8,279,734,26,15,14,31,22,337,87,31,43,17,0,56,38,56,40.4
Ezri Konsa,ENG,Aston Villa,DF,27-191,30,29,"2,576",1,0,0,0,0.9,0.4,16,73,11,0.03,0.00,0.03,0.01,N/a,N/a,N/a,N/a,33.3,0.10,0.11,9.1,1372,92.7,22993,96.3,95.7,65.0,5,93,1,0,73,23,0.80,3,0.10,32,17,22,4,17,9,8,21,1693,213,795,807,99,20,17,41.2,41.2,986,2465,16,11,2,16,9,1177,11,6,42,0,5,86,27,21,56.3
Fabian Schär,SUI,Newcastle Utd,DF,33-133,30,29,"2,575",4,0,7,1,2.1,0.4,14,95,17,0.14,0.00,0.07,0.01,N/a,N/a,N/a,N/a,34.5,0.35,0.14,21.8,1458,83.6,29169,92.5,92.7,51.4,5,139,10,0,95,27,0.94,3,0.10,32,19,34,20,36,24,12,40,2034,237,1061,857,127,31,12,66.7,16.7,1284,3313,14,23,2,11,6,1417,17,31,12,4,9,123,40,61,39.6
Fabio Carvalho,POR,Brentford,"FW,MF",22-245,19,3,455,2,1,1,0,2.5,0.7,9,17,23,0.40,0.20,0.49,0.13,N/a,N/a,N/a,N/a,41.7,0.99,0.17,14.7,126,70.8,1755,83.0,71.1,38.9,4,11,5,1,17,10,1.97,1,0.20,13,9,13,7,6,1,5,3,247,4,44,91,113,22,14,14.3,71.4,137,356,9,3,0,13,8,145,23,5,10,1,10,30,2,6,25.0
Facundo Buonanotte,ARG,Leicester City,"FW,MF",20-130,29,14,"1,474",4,2,7,0,3.8,3.1,38,52,69,0.24,0.12,0.23,0.19,N/a,N/a,N/a,N/a,29.4,0.61,0.12,17.8,430,76.6,6782,85.7,81.9,48.6,24,40,13,2,52,50,3.05,4,0.24,53,32,67,46,32,6,26,11,850,26,127,436,300,36,79,32.9,62.0,465,1321,38,26,8,53,39,515,69,35,33,3,41,77,17,35,32.7
Ferdi Kadioglu,TUR,Brighton,"DF,MF",25-207,6,5,385,1,0,1,0,0.4,0.2,1,15,27,0.23,0.00,0.10,0.04,N/a,N/a,N/a,N/a,25.0,0.23,0.25,15.1,144,82.3,2372,89.0,82.4,64.3,5,10,9,4,15,13,3.03,2,0.47,10,6,15,9,2,2,0,8,231,13,71,91,72,9,7,42.9,42.9,124,183,1,0,0,6,2,144,27,5,3,1,9,14,3,1,75.0
Filip Jørgensen,DEN,Chelsea,GK,23-016,6,6,540,0,0,0,0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,1.50,71.4,16.7,0.0,N/a,0.00,N/a,N/a,158,83.6,2843,100.0,97.5,27.5,0,1,0,0,0,1,0.17,0,0.00,0,0,0,0,0,0,0,0,202,174,201,1,0,0,0,N/a,N/a,145,423,0,0,0,0,0,139,0,1,1,0,0,5,0,0,N/a
Flynn Downes,ENG,Southampton,MF,26-102,23,21,"1,791",1,0,10,0,0.6,1.1,24,59,28,0.05,0.00,0.03,0.05,N/a,N/a,N/a,N/a,30.0,0.15,0.10,18.7,851,89.8,12498,92.6,91.8,67.4,15,52,11,0,59,30,1.51,2,0.10,43,23,32,18,22,6,16,30,1136,76,343,605,197,20,14,35.7,50.0,540,1551,24,21,4,12,17,805,28,45,33,0,3,73,13,13,50.0
Fraser Forster,ENG,Tottenham,GK,37-046,7,7,630,0,0,0,0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,2.14,69.0,14.3,0.0,N/a,0.00,N/a,N/a,168,84.8,3349,98.2,95.6,48.9,0,1,0,0,0,0,0.00,0,0.00,0,0,1,1,0,0,0,0,228,212,228,0,0,0,1,100.0,0.0,113,264,0,0,0,1,0,94,0,0,0,0,0,1,1,0,100.0
Gabriel Jesus,BRA,Arsenal,FW,28-029,17,6,608,3,0,4,0,3.0,0.7,15,19,57,0.44,0.00,0.44,0.10,N/a,N/a,N/a,N/a,35.0,1.04,0.15,11.1,156,76.8,2030,80.5,87.2,66.7,8,10,9,1,19,18,2.66,4,0.59,10,6,9,5,10,1,9,4,299,9,28,108,165,48,22,40.9,45.5,179,432,15,6,11,13,13,217,57,14,10,9,7,28,9,18,33.3
Gabriel Magalhães,BRA,Arsenal,DF,27-134,28,28,"2,363",3,1,4,0,2.6,0.9,10,126,11,0.11,0.04,0.10,0.03,N/a,N/a,N/a,N/a,22.7,0.19,0.14,9.5,1480,90.2,25788,96.9,94.2,53.9,13,145,8,0,126,35,1.33,6,0.23,25,15,16,4,42,29,13,16,1873,189,672,985,225,40,5,80.0,20.0,1116,2669,10,22,0,9,2,1366,11,19,19,0,9,63,53,37,58.9
Gabriel Martinelli,BRA,Arsenal,"FW,MF",23-318,29,21,"1,956",7,4,1,0,5.9,4.5,106,44,259,0.32,0.18,0.27,0.21,N/a,N/a,N/a,N/a,42.2,0.87,0.16,13.0,429,71.0,6240,83.1,69.2,51.1,34,10,30,13,44,61,2.81,6,0.28,19,14,22,16,10,0,10,4,860,15,83,218,571,162,103,29.1,55.3,576,2268,106,29,55,48,33,655,259,14,19,8,80,70,14,29,32.6
George Hirst,SCO,Ipswich Town,FW,26-076,22,3,470,2,1,1,0,1.3,0.3,9,12,27,0.38,0.19,0.25,0.05,N/a,N/a,N/a,N/a,44.4,0.77,0.22,12.0,55,55.0,644,66.7,47.8,50.0,3,1,4,0,12,7,1.33,3,0.57,3,3,3,2,1,1,0,2,156,10,22,54,82,21,5,40.0,40.0,88,198,9,2,6,21,13,134,27,11,9,2,3,8,30,19,61.2
Georginio Rutter,FRA,Brighton,"MF,FW",23-012,28,19,"1,656",5,3,2,0,4.6,2.5,42,67,79,0.27,0.16,0.25,0.14,N/a,N/a,N/a,N/a,24.0,0.65,0.10,15.5,237,66.8,3344,77.0,66.7,62.5,19,30,16,1,67,64,3.47,8,0.43,39,15,36,22,20,3,17,10,641,20,83,246,326,79,71,38.0,47.9,361,1405,42,36,16,45,37,411,79,34,45,7,9,66,25,46,35.2
Gonçalo Guedes,POR,Wolves,"MF,FW",28-154,25,7,772,2,4,1,0,2.2,1.1,32,30,58,0.23,0.47,0.26,0.13,N/a,N/a,N/a,N/a,36.8,0.82,0.11,20.0,186,72.7,3117,84.1,76.0,44.8,11,13,16,5,30,23,2.68,8,0.93,14,4,15,12,9,0,9,5,367,4,42,161,177,28,20,25.0,55.0,224,896,32,20,5,33,14,248,58,14,15,3,16,34,3,11,21.4
Guglielmo Vicario,ITA,Tottenham,GK,28-207,22,22,"1,980",0,0,1,0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,1.45,65.2,18.2,N/a,N/a,0.00,N/a,N/a,709,88.8,13716,99.1,97.3,51.0,0,1,0,0,1,4,0.18,0,0.00,0,0,0,0,0,0,0,1,848,568,830,18,0,0,1,100.0,0.0,606,1594,0,0,0,0,0,549,0,0,2,0,0,31,9,0,100.0
Guido Rodríguez,ARG,West Ham,MF,31-020,20,14,"1,018",0,0,5,0,0.2,0.1,2,31,5,0.00,0.00,0.02,0.01,N/a,N/a,N/a,N/a,12.5,0.09,0.00,27.8,419,84.1,7149,87.4,91.4,62.7,3,36,1,0,31,10,0.88,0,0.00,30,16,30,16,21,9,12,12,617,42,196,366,56,2,3,66.7,0.0,284,392,2,5,0,2,6,354,5,15,11,1,4,46,8,7,53.3
Hamza Choudhury,BAN,Leicester City,"MF,DF",27-213,4,1,131,0,0,0,0,0.0,0.4,4,3,6,0.00,0.00,0.00,0.27,N/a,N/a,N/a,N/a,N/a,0.00,N/a,N/a,72,85.7,991,94.0,79.3,50.0,2,10,1,1,3,3,2.05,0,0.00,1,1,3,2,4,2,2,5,100,4,19,61,20,3,4,75.0,25.0,63,130,4,2,2,1,0,71,6,1,0,0,5,2,0,0,N/a
Harry Amass,ENG,Manchester Utd,DF,18-047,3,2,166,0,0,0,0,0.0,0.0,5,4,12,0.00,0.00,0.01,0.01,N/a,N/a,N/a,N/a,0.0,0.00,0.00,29.6,77,82.8,906,91.4,76.0,25.0,1,3,0,0,4,5,2.71,0,0.00,4,1,3,2,3,0,3,1,121,7,39,37,46,2,3,66.7,33.3,61,178,5,4,1,6,4,64,12,2,3,1,4,10,5,1,83.3
Harry Clarke,ENG,Ipswich Town,DF,24-061,7,4,379,0,0,3,1,0.1,0.0,5,14,2,0.00,0.00,0.02,0.01,N/a,N/a,N/a,N/a,100.0,0.24,0.00,4.5,190,80.5,3442,91.6,87.5,57.5,1,21,1,0,14,1,0.24,0,0.00,5,3,6,3,5,4,1,4,268,18,100,122,47,2,2,50.0,50.0,118,222,5,7,0,4,2,163,2,5,1,0,5,17,10,4,71.4
Harry Maguire,ENG,Manchester Utd,DF,32-058,23,17,"1,483",1,0,7,0,1.4,0.3,6,43,6,0.06,0.00,0.09,0.02,N/a,N/a,N/a,N/a,41.7,0.30,0.08,7.9,812,86.2,15170,91.8,91.0,58.3,6,42,3,0,43,17,1.03,0,0.00,26,13,17,4,14,12,2,37,1117,136,560,509,62,37,5,40.0,60.0,658,1644,6,6,3,6,2,722,6,17,8,1,2,53,51,21,70.8
Harry Toffolo,ENG,Nott'ham Forest,DF,29-256,4,1,137,0,0,1,0,0.0,0.0,0,2,4,0.00,0.00,0.01,0.00,N/a,N/a,N/a,N/a,0.0,0.00,0.00,28.5,47,70.1,653,93.8,62.5,14.3,0,1,0,0,2,0,0.00,0,0.00,5,3,4,1,2,2,0,2,88,9,32,22,34,2,0,N/a,N/a,17,23,0,0,0,0,0,30,4,1,0,0,4,2,1,0,100.0
Harry Wilson,WAL,Fulham,"FW,MF",28-041,21,9,937,5,1,2,0,3.2,1.1,16,46,79,0.48,0.10,0.31,0.10,N/a,N/a,N/a,N/a,31.0,0.86,0.17,17.7,279,73.6,4685,84.6,78.4,44.1,19,23,13,1,46,36,3.46,3,0.29,13,8,15,6,13,1,12,5,486,7,63,175,257,45,24,37.5,41.7,287,657,16,18,8,13,5,326,79,10,18,1,35,44,4,18,18.2
Harry Winks,ENG,Leicester City,MF,29-089,22,17,"1,538",0,2,4,0,0.2,1.2,19,101,11,0.00,0.12,0.01,0.07,N/a,N/a,N/a,N/a,40.0,0.23,0.00,29.2,910,87.1,14101,92.2,91.2,57.9,17,110,7,5,101,39,2.28,3,0.18,24,11,30,17,19,7,12,9,1158,49,275,746,151,1,12,25.0,66.7,696,1522,19,13,0,13,8,827,11,9,13,0,34,106,8,6,57.1
Harvey Barnes,ENG,Newcastle Utd,FW,27-144,29,13,"1,413",9,4,0,0,6.3,3.7,74,69,159,0.57,0.25,0.40,0.24,N/a,N/a,N/a,N/a,30.8,1.02,0.17,14.7,402,79.3,5599,87.2,74.7,64.7,21,21,34,8,69,52,3.30,9,0.57,16,9,7,4,7,1,6,6,676,15,82,225,374,102,56,37.5,50.0,471,2026,74,38,41,24,18,538,159,10,18,4,37,46,5,14,26.3
Harvey Elliott,ENG,Liverpool,"MF,FW",22-028,14,0,199,0,1,1,0,0.7,0.9,7,26,23,0.00,0.45,0.33,0.39,N/a,N/a,N/a,N/a,18.2,0.90,0.00,16.7,156,81.3,2693,92.3,78.8,65.2,6,15,4,0,26,12,5.43,2,0.90,4,3,4,3,4,1,3,1,220,2,20,96,105,15,5,40.0,60.0,128,259,7,8,5,2,4,165,23,0,0,1,10,10,1,2,33.3
Hwang Hee-chan,KOR,Wolves,"MF,FW",29-096,19,5,645,2,0,0,0,0.8,0.1,15,12,40,0.28,0.00,0.11,0.02,N/a,N/a,N/a,N/a,60.0,0.42,0.40,17.4,159,81.5,2061,87.0,85.1,80.0,3,7,4,2,12,9,1.25,1,0.14,6,4,6,4,9,0,9,2,260,9,41,98,123,23,13,15.4,84.6,150,426,15,5,7,13,10,172,40,6,8,0,8,27,3,9,25.0
Hákon Rafn Valdimarsson,ISL,Brentford,GK,23-201,2,1,145,0,0,0,0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,1.24,50.0,100.0,N/a,N/a,0.00,N/a,N/a,46,65.7,1445,100.0,100.0,41.5,0,2,0,0,0,2,1.24,0,0.00,0,0,0,0,0,0,0,0,72,60,71,1,0,0,0,N/a,N/a,44,80,0,0,0,0,0,36,0,0,0,0,0,1,1,0,100.0
